Table 2.1. Personal Income and Its Disposition
Table 2.1. Personal Income and Its Disposition
"Last Revised on: July 30, 2025 - Next Release Date August 28, 2025"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
41,"        Disposable personal income, current dollars",---,-10.3,-13.7,-23.3,-6.3,14.6,12.4,13.6,7.2,-7.6,7.3,7.7,23.0,27.5,14.5,9.0,2.8,5.7,5.7,11.2,0.0,10.5,10.4,5.6,6.2,2.3,7.1,6.9,5.7,3.4,5.9,4.3,4.6,6.1,5.0,8.6,7.7,8.0,7.0,8.6,8.1,9.5,9.1,8.4,11.9,9.2,11.0,8.9,9.9,11.8,11.0,11.6,11.5,7.9,8.0,10.7,6.7,6.1,5.0,9.2,7.4,6.5,4.2,6.7,4.2,4.9,5.5,5.3,5.4,6.7,4.7,7.5,5.0,4.4,4.7,5.8,4.1,6.6,5.0,4.6,0.0,3.7,4.7,4.7,-0.1,4.9,4.1,2.9,4.9,5.7,4.6,7.5,7.7,0.7,9.0,5.3
42,"        Personal outlays, current dollars",---,-10.0,-13.6,-19.7,-5.8,11.8,8.6,11.2,7.5,-3.9,4.5,6.2,13.7,9.3,12.1,8.8,10.5,20.3,12.3,8.2,2.0,7.8,8.5,5.4,6.4,3.0,7.9,5.2,5.6,3.2,7.2,4.6,3.2,6.2,5.5,7.6,7.9,8.3,5.6,9.9,8.5,7.2,8.2,9.8,10.6,9.4,10.8,11.1,11.0,11.8,11.5,10.6,10.8,7.5,10.3,9.3,9.2,6.5,6.4,8.1,7.5,6.5,3.6,6.2,5.9,6.1,5.4,5.9,5.7,6.3,6.8,7.9,4.6,3.5,5.1,6.4,6.7,6.0,5.2,2.9,-1.7,3.5,4.1,3.2,3.0,4.3,3.7,3.5,4.5,5.0,3.7,-1.8,12.9,10.0,7.1,5.5
43,"        Disposable personal income, chained (2017) dollars",---,-6.3,-3.4,-13.1,-2.9,9.6,9.7,12.6,3.4,-5.5,8.4,6.8,15.8,13.4,4.8,3.1,-1.1,-1.1,-4.1,5.3,0.8,9.2,3.4,3.5,4.8,1.4,6.7,4.8,2.6,1.0,4.4,2.6,3.5,4.9,3.8,7.1,6.2,5.3,4.4,4.5,3.4,4.6,4.6,4.8,6.2,-1.1,2.5,3.2,3.2,4.5,1.9,0.8,2.3,2.2,3.6,6.7,3.1,3.8,1.8,5.1,2.9,2.1,0.9,4.0,1.6,2.7,3.3,3.1,3.6,5.9,3.2,4.9,2.9,3.1,2.5,3.2,1.2,3.6,2.3,1.6,0.2,1.9,2.2,2.7,-1.4,3.5,3.9,1.9,3.1,3.6,3.1,6.3,3.4,-5.5,5.1,2.7

Legend/Footnotes
1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period.
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.
4. Consists of nonmortgage interest paid by households.  Note that mortgage interest paid by households is an expense item in the calculation of rental income of persons.
5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.
"6. Population is the total population of the United States, including the Armed Forces overseas and the institutionalized population. The monthly estimate is the average of estimates for the first of the month and the first of the following month; the annual and quarterly estimates are averages of the monthly estimates."
